"state","name","district","chamber"
"VT","House of Representatives","Chittenden 3-3","lower"
"VT","House of Representatives","Chittenden 3-4","lower"
"VT","House of Representatives","Chittenden 3-5","lower"
"VT","House of Representatives","Chittenden 3-6","lower"
"VT","House of Representatives","Chittenden 3-7","lower"
"VT","House of Representatives","Chittenden 3-8","lower"
"VT","House of Representatives","Chittenden 3-9","lower"
"VT","House of Representatives","Chittenden 4","lower"
"VT","House of Representatives","Chittenden 4-1","lower"
"VT","House of Representatives","Chittenden 4-2","lower"
"VT","House of Representatives","Chittenden 5","lower"
"VT","House of Representatives","Chittenden 5-1","lower"
"VT","House of Representatives","Chittenden 5-2","lower"
"VT","House of Representatives","Chittenden 5-3","lower"
"VT","House of Representatives","Chittenden 5-4","lower"
"VT","House of Representatives","Chittenden 6","lower"
"VT","House of Representatives","Chittenden 6-1","lower"
"VT","House of Representatives","Chittenden 6-2","lower"
"VT","House of Representatives","Chittenden 6-3","lower"
"VT","House of Representatives","Chittenden 6-4","lower"
"VT","House of Representatives","Chittenden 6-5","lower"
"VT","House of Representatives","Chittenden 6-6","lower"
"VT","House of Representatives","Chittenden 6-7","lower"
"VT","House of Representatives","Chittenden 7-1","lower"
"VT","House of Representatives","Chittenden 7-10","lower"
"VT","House of Representatives","Chittenden 7-2","lower"
"VT","House of Representatives","Chittenden 7-3","lower"
"VT","House of Representatives","Chittenden 7-4","lower"
"VT","House of Representatives","Chittenden 7-5","lower"
"VT","House of Representatives","Chittenden 7-6","lower"
"VT","House of Representatives","Chittenden 7-7","lower"
"VT","House of Representatives","Chittenden 7-8","lower"
"VT","House of Representatives","Chittenden 7-9","lower"
"VT","House of Representatives","Chittenden 8","lower"
"VT","House of Representatives","Chittenden 8-1","lower"
"VT","House of Representatives","Chittenden 8-2","lower"
"VT","House of Representatives","Chittenden 8-3","lower"
"VT","House of Representatives","Chittenden 9","lower"
"VT","House of Representatives","Chittenden 9-1","lower"
"VT","House of Representatives","Chittenden 9-2","lower"
"VT","House of Representatives","Chittenden-Franklin 1","lower"
"VT","House of Representatives","Chittenden-Washington 1","lower"
"VT","House of Representatives","Essex 1","lower"
"VT","House of Representatives","Essex-Caldeonia-Orleans","lower"
"VT","House of Representatives","Essex-Caledonia","lower"
"VT","House of Representatives","Essex-Caledonia 1","lower"
"VT","House of Representatives","Essex-Caledonia 2","lower"
"VT","House of Representatives","Essex-Caledonia-Orleans","lower"
"VT","House of Representatives","Franklin 1","lower"
"VT","House of Representatives","Franklin 2","lower"
"VT","House of Representatives","Franklin 3","lower"
"VT","House of Representatives","Franklin 3-1","lower"
"VT","House of Representatives","Franklin 3-2","lower"
"VT","House of Representatives","Franklin 4","lower"
"VT","House of Representatives","Franklin 5","lower"
"VT","House of Representatives","Franklin 5-1","lower"
"VT","House of Representatives","Franklin 5-2","lower"
"VT","House of Representatives","Franklin 6","lower"
"VT","House of Representatives","Franklin 6-1","lower"
"VT","House of Representatives","Franklin 6-2","lower"
"VT","House of Representatives","Franklin 7","lower"
"VT","House of Representatives","Franklin-Grand Isle 1","lower"
"VT","House of Representatives","Franklin-Lamoille 1","lower"
"VT","House of Representatives","Grand Isle 1","lower"
"VT","House of Representatives","Grand Isle-Chittenden","lower"
"VT","House of Representatives","Grand Isle-Chittenden 1","lower"
"VT","House of Representatives","Grand Isle-Chittenden 1-1","lower"
"VT","House of Representatives","Lamoille 1","lower"
"VT","House of Representatives","Lamoille 2","lower"
"VT","House of Representatives","Lamoille 2-1","lower"
"VT","House of Representatives","Lamoille 2-2","lower"
"VT","House of Representatives","Lamoille 3","lower"
"VT","House of Representatives","Lamoille 4","lower"
"VT","House of Representatives","Lamoille-Washington","lower"
"VT","House of Representatives","Lamoille-Washington 1","lower"
"VT","House of Representatives","Orange 1","lower"
"VT","House of Representatives","Orange 2","lower"
"VT","House of Representatives","Orange 3","lower"
"VT","House of Representatives","Orange 4","lower"
"VT","House of Representatives","Orange-Addison 1","lower"
"VT","House of Representatives","Orange-Caledonia","lower"
"VT","House of Representatives","Orange-Caledonia 1","lower"
"VT","House of Representatives","Orange-Washington-Addison","lower"
"VT","House of Representatives","Orange-Windsor 1","lower"
"VT","House of Representatives","Orleans 1","lower"
"VT","House of Representatives","Orleans 2","lower"
"VT","House of Representatives","Orleans 3","lower"
"VT","House of Representatives","Orleans 3  Recessed Election","lower"
"VT","House of Representatives","Orleans 4","lower"
"VT","House of Representatives","Orleans-Caledonia","lower"
"VT","House of Representatives","Orleans-Caledonia 1","lower"
"VT","House of Representatives","Orleans-Franklin 1","lower"
"VT","House of Representatives","Orleans-Lamoille","lower"
"VT","House of Representatives","Rutland 1","lower"
"VT","House of Representatives","Rutland 1-1","lower"
"VT","House of Representatives","Rutland 1-2","lower"
"VT","House of Representatives","Rutland 2","lower"
"VT","House of Representatives","Rutland 3","lower"
"VT","House of Representatives","Rutland 4","lower"
"VT","House of Representatives","Rutland 5","lower"
"VT","House of Representatives","Rutland 5-1","lower"
"VT","House of Representatives","Rutland 5-2","lower"
"VT","House of Representatives","Rutland 5-3","lower"
"VT","House of Representatives","Rutland 5-4","lower"
"VT","House of Representatives","Rutland 6","lower"
"VT","House of Representatives","Rutland 6-1","lower"
"VT","House of Representatives","Rutland 6-2","lower"
"VT","House of Representatives","Rutland 6-3","lower"
"VT","House of Representatives","Rutland 6-4","lower"
"VT","House of Representatives","Rutland 7","lower"
"VT","House of Representatives","Rutland 8","lower"
"VT","House of Representatives","Rutland-Benington 1","lower"
"VT","House of Representatives","Rutland-Bennington","lower"
"VT","House of Representatives","Rutland-Bennington 1","lower"
"VT","House of Representatives","Rutland-Windsor 1","lower"
"VT","House of Representatives","Rutland-Windsor 2","lower"
"VT","House of Representatives","Shelburne 5-2","lower"
"VT","House of Representatives","Washington 1","lower"
"VT","House of Representatives","Washington 2","lower"
"VT","House of Representatives","Washington 3","lower"
"VT","House of Representatives","Washington 3-1","lower"
"VT","House of Representatives","Washington 3-2","lower"
"VT","House of Representatives","Washington 3-3","lower"
"VT","House of Representatives","Washington 4","lower"
"VT","House of Representatives","Washington 4-1","lower"
"VT","House of Representatives","Washington 4-2","lower"
"VT","House of Representatives","Washington 4-3","lower"
"VT","House of Representatives","Washington 5","lower"
"VT","House of Representatives","Washington 5-1","lower"
"VT","House of Representatives","Washington 5-2","lower"
"VT","House of Representatives","Washington 6","lower"
"VT","House of Representatives","Washington 7","lower"
"VT","House of Representatives","Washington-Addison 1","lower"
"VT","House of Representatives","Washington-Chittenden","lower"
"VT","House of Representatives","Washington-Chittenden 1","lower"
"VT","House of Representatives","Washington-Lamoille 1-1","lower"
"VT","House of Representatives","Windham 1","lower"
"VT","House of Representatives","Windham 2","lower"
"VT","House of Representatives","Windham 2-1","lower"
"VT","House of Representatives","Windham 2-2","lower"
"VT","House of Representatives","Windham 2-3","lower"
"VT","House of Representatives","Windham 3","lower"
"VT","House of Representatives","Windham 3-1","lower"
"VT","House of Representatives","Windham 3-2","lower"
"VT","House of Representatives","Windham 3-3","lower"
"VT","House of Representatives","Windham 4","lower"
"VT","House of Representatives","Windham 5","lower"
"VT","House of Representatives","Windham 6","lower"
"VT","House of Representatives","Windham-Bennington","lower"
"VT","House of Representatives","Windham-Bennington-Windsor","lower"
"VT","House of Representatives","Windham-Windsor 1","lower"
"VT","House of Representatives","Windsor 1","lower"
"VT","House of Representatives","Windsor 1-1","lower"
"VT","House of Representatives","Windsor 1-2","lower"
"VT","House of Representatives","Windsor 2","lower"
"VT","House of Representatives","Windsor 2-1","lower"
"VT","House of Representatives","Windsor 2-2","lower"
"VT","House of Representatives","Windsor 2-3","lower"
"VT","House of Representatives","Windsor 3","lower"
"VT","House of Representatives","Windsor 3-1","lower"
"VT","House of Representatives","Windsor 3-2","lower"
"VT","House of Representatives","Windsor 4","lower"
"VT","House of Representatives","Windsor 4-1","lower"
"VT","House of Representatives","Windsor 4-2","lower"
"VT","House of Representatives","Windsor 5","lower"
"VT","House of Representatives","Windsor 5-1","lower"
"VT","House of Representatives","Windsor 5-2","lower"
"VT","House of Representatives","Windsor 6","lower"
"VT","House of Representatives","Windsor 6-1","lower"
"VT","House of Representatives","Windsor 6-2","lower"
"VT","House of Representatives","Windsor-Orange 1","lower"
"VT","House of Representatives","Windsor-Orange 2","lower"
"VT","House of Representatives","Windsor-Rutland","lower"
"VT","House of Representatives","Windsor-Rutland 1","lower"
"VT","House of Representatives","Windsor-Rutland 2","lower"
"VT","House of Representatives","Windsor-Windham 1-1","lower"
"MD","U.S. Senate",,"upper"
"MD","U.S. House of Representatives",1,"lower"
"MD","U.S. House of Representatives",2,"lower"
"MD","U.S. House of Representatives",3,"lower"
"MD","U.S. House of Representatives",4,"lower"
"MD","U.S. House of Representatives",5,"lower"
"MD","U.S. House of Representatives",6,"lower"
"MD","U.S. House of Representatives",7,"lower"
"MD","U.S. House of Representatives",8,"lower"
"MD","Governor",,
"MD","Attorney General",,
"MD","Secretary of State",,
"MD","Lieutenant Governor",,
"MD","Comptroller",,
"MD","Agriculture Commissioner",,
"MD","State Senate",1,"upper"
"MD","State Senate",2,"upper"
"MD","State Senate",3,"upper"
"MD","State Senate",4,"upper"
"MD","State Senate",5,"upper"
"MD","State Senate",6,"upper"
"MD","State Senate",7,"upper"
"MD","State Senate",8,"upper"
"MD","State Senate",9,"upper"
"MD","State Senate",10,"upper"
"MD","State Senate",11,"upper"
"MD","State Senate",12,"upper"
"MD","State Senate",13,"upper"
"MD","State Senate",14,"upper"
"MD","State Senate",15,"upper"
"MD","State Senate",16,"upper"
"MD","State Senate",17,"upper"
"MD","State Senate",18,"upper"
"MD","State Senate",19,"upper"
"MD","State Senate",20,"upper"
"MD","State Senate",21,"upper"
"MD","State Senate",22,"upper"
"MD","State Senate",23,"upper"
"MD","State Senate",24,"upper"
"MD","State Senate",25,"upper"
"MD","State Senate",26,"upper"
"MD","State Senate",27,"upper"
"MD","State Senate",28,"upper"
"MD","State Senate",29,"upper"
"MD","State Senate",30,"upper"
"MD","State Senate",31,"upper"
"MD","State Senate",32,"upper"
"MD","State Senate",33,"upper"
"MD","State Senate",34,"upper"
"MD","State Senate",35,"upper"
"MD","State Senate",36,"upper"
"MD","State Senate",37,"upper"
"MD","State Senate",38,"upper"
"MD","State Senate",39,"upper"
"MD","State Senate",40,"upper"
"MD","State Senate",41,"upper"
"MD","State Senate",42,"upper"
"MD","State Senate",43,"upper"
"MD","State Senate",44,"upper"
"MD","State Senate",45,"upper"
"MD","State Senate",46,"upper"
"MD","State Senate",47,"upper"
"MD","House of Delegates","1A","lower"
"MD","House of Delegates","1B","lower"
"MD","House of Delegates","1C","lower"
"MD","House of Delegates","2A","lower"
"MD","House of Delegates","2B","lower"
"MD","House of Delegates","2C","lower"
"MD","House of Delegates","3A","lower"
"MD","House of Delegates","3B","lower"
"MD","House of Delegates","4A","lower"
"MD","House of Delegates","4B","lower"
"MD","House of Delegates","5A","lower"
"MD","House of Delegates","5B","lower"
"MD","House of Delegates",6,"lower"
"MD","House of Delegates",7,"lower"
"MD","House of Delegates",8,"lower"
"MD","House of Delegates","9A","lower"
"MD","House of Delegates","9B","lower"
"MD","House of Delegates",10,"lower"
"MD","House of Delegates",11,"lower"
"MD","House of Delegates","12A","lower"
"MD","House of Delegates","12B","lower"
"MD","House of Delegates",13,"lower"
"MD","House of Delegates",14,"lower"
"MD","House of Delegates",15,"lower"
"MD","House of Delegates",16,"lower"
"MD","House of Delegates",17,"lower"
"MD","House of Delegates",18,"lower"
"MD","House of Delegates",19,"lower"
"MD","House of Delegates",20,"lower"
"MD","House of Delegates",21,"lower"
"MD","House of Delegates",22,"lower"
"MD","House of Delegates","23A","lower"
"MD","House of Delegates","23B","lower"
"MD","House of Delegates",24,"lower"
"MD","House of Delegates",25,"lower"
"MD","House of Delegates",26,"lower"
"MD","House of Delegates","27A","lower"
"MD","House of Delegates","27B","lower"
"MD","House of Delegates",28,"lower"
"MD","House of Delegates","29A","lower"
"MD","House of Delegates","29B","lower"
"MD","House of Delegates","29C","lower"
"MD","House of Delegates",30,"lower"
"MD","House of Delegates",31,"lower"
"MD","House of Delegates",32,"lower"
"MD","House of Delegates","33A","lower"
"MD","House of Delegates","33B","lower"
"MD","House of Delegates","34A","lower"
"MD","House of Delegates","34B","lower"
"MD","House of Delegates","35A","lower"
"MD","House of Delegates","35B","lower"
"MD","House of Delegates",36,"lower"
"MD","House of Delegates","37A","lower"
"MD","House of Delegates","37B","lower"
"MD","House of Delegates","38A","lower"
"MD","House of Delegates","38B","lower"
"MD","House of Delegates",39,"lower"
"MD","House of Delegates",40,"lower"
"MD","House of Delegates",41,"lower"
"MD","House of Delegates",42,"lower"
"MD","House of Delegates",43,"lower"
"MD","House of Delegates",44,"lower"
"MD","House of Delegates",45,"lower"
"MD","House of Delegates",46,"lower"
"MD","House of Delegates",47,"lower"
"MD","Controller",,
"MD","Auditor",,
"MD","Superintendent of Schools",,
"FL","U.S. Senate",,"upper"
"FL","U.S. House of Representatives",1,"lower"
"FL","U.S. House of Representatives",2,"lower"
"FL","U.S. House of Representatives",3,"lower"
"FL","U.S. House of Representatives",4,"lower"
"FL","U.S. House of Representatives",5,"lower"
"FL","U.S. House of Representatives",6,"lower"
"FL","U.S. House of Representatives",7,"lower"
"FL","U.S. House of Representatives",8,"lower"
"FL","U.S. House of Representatives",9,"lower"
"FL","U.S. House of Representatives",10,"lower"
"FL","U.S. House of Representatives",11,"lower"
"FL","U.S. House of Representatives",12,"lower"
"FL","U.S. House of Representatives",13,"lower"
"FL","U.S. House of Representatives",14,"lower"
"FL","U.S. House of Representatives",15,"lower"
"FL","U.S. House of Representatives",16,"lower"
"FL","U.S. House of Representatives",17,"lower"
"FL","U.S. House of Representatives",18,"lower"
"FL","U.S. House of Representatives",19,"lower"
"FL","U.S. House of Representatives",20,"lower"
"FL","U.S. House of Representatives",21,"lower"
"FL","U.S. House of Representatives",22,"lower"
"FL","U.S. House of Representatives",23,"lower"
"FL","U.S. House of Representatives",24,"lower"
"FL","U.S. House of Representatives",25,"lower"
"FL","U.S. House of Representatives",26,"lower"
"FL","U.S. House of Representatives",27,"lower"
"FL","Governor",,
"FL","Attorney General",,
"FL","Chief Financial Officer",,
"FL","Lieutenant Governor",,
"FL","Agriculture Commissioner",,
"FL","State Senate",1,"upper"
"FL","State Senate",2,"upper"
"FL","State Senate",3,"upper"
"FL","State Senate",4,"upper"
"FL","State Senate",5,"upper"
"FL","State Senate",6,"upper"
"FL","State Senate",7,"upper"
"FL","State Senate",8,"upper"
"FL","State Senate",9,"upper"
"FL","State Senate",10,"upper"
"FL","State Senate",11,"upper"
"FL","State Senate",12,"upper"
"FL","State Senate",13,"upper"
"FL","State Senate",14,"upper"
"FL","State Senate",15,"upper"
"FL","State Senate",16,"upper"
"FL","State Senate",17,"upper"
"FL","State Senate",18,"upper"
"FL","State Senate",19,"upper"
"FL","State Senate",20,"upper"
"FL","State Senate",21,"upper"
"FL","State Senate",22,"upper"
"FL","State Senate",23,"upper"
"FL","State Senate",24,"upper"
"FL","State Senate",25,"upper"
"FL","State Senate",26,"upper"
"FL","State Senate",27,"upper"
"FL","State Senate",28,"upper"
"FL","State Senate",29,"upper"
"FL","State Senate",30,"upper"
"FL","State Senate",31,"upper"
"FL","State Senate",32,"upper"
"FL","State Senate",33,"upper"
"FL","State Senate",34,"upper"
"FL","State Senate",35,"upper"
"FL","State Senate",36,"upper"
"FL","State Senate",37,"upper"
"FL","State Senate",38,"upper"
"FL","State Senate",39,"upper"
"FL","State Senate",40,"upper"
"FL","State House of Representatives",1,"lower"
"FL","State House of Representatives",2,"lower"
"FL","State House of Representatives",3,"lower"
"FL","State House of Representatives",4,"lower"
"FL","State House of Representatives",5,"lower"
"FL","State House of Representatives",6,"lower"
"FL","State House of Representatives",7,"lower"
"FL","State House of Representatives",8,"lower"
"FL","State House of Representatives",9,"lower"
"FL","State House of Representatives",10,"lower"
"FL","State House of Representatives",11,"lower"
"FL","State House of Representatives",12,"lower"
"FL","State House of Representatives",13,"lower"
"FL","State House of Representatives",14,"lower"
"FL","State House of Representatives",15,"lower"
"FL","State House of Representatives",16,"lower"
"FL","State House of Representatives",17,"lower"
"FL","State House of Representatives",18,"lower"
"FL","State House of Representatives",19,"lower"
"FL","State House of Representatives",20,"lower"
"FL","State House of Representatives",21,"lower"
"FL","State House of Representatives",22,"lower"
"FL","State House of Representatives",23,"lower"
"FL","State House of Representatives",24,"lower"
"FL","State House of Representatives",25,"lower"
"FL","State House of Representatives",26,"lower"
"FL","State House of Representatives",27,"lower"
"FL","State House of Representatives",28,"lower"
"FL","State House of Representatives",29,"lower"
"FL","State House of Representatives",30,"lower"
"FL","State House of Representatives",31,"lower"
"FL","State House of Representatives",32,"lower"
"FL","State House of Representatives",33,"lower"
"FL","State House of Representatives",34,"lower"
"FL","State House of Representatives",35,"lower"
"FL","State House of Representatives",36,"lower"
"FL","State House of Representatives",37,"lower"
"FL","State House of Representatives",38,"lower"
"FL","State House of Representatives",39,"lower"
"FL","State House of Representatives",40,"lower"
"FL","State House of Representatives",41,"lower"
"FL","State House of Representatives",42,"lower"
"FL","State House of Representatives",43,"lower"
"FL","State House of Representatives",44,"lower"
"FL","State House of Representatives",45,"lower"
"FL","State House of Representatives",46,"lower"
"FL","State House of Representatives",47,"lower"
"FL","State House of Representatives",48,"lower"
"FL","State House of Representatives",49,"lower"
"FL","State House of Representatives",50,"lower"
"FL","State House of Representatives",51,"lower"
"FL","State House of Representatives",52,"lower"
"FL","State House of Representatives",53,"lower"
"FL","State House of Representatives",54,"lower"
"FL","State House of Representatives",55,"lower"
"FL","State House of Representatives",56,"lower"
"FL","State House of Representatives",57,"lower"
"FL","State House of Representatives",58,"lower"
"FL","State House of Representatives",59,"lower"
"FL","State House of Representatives",60,"lower"
"FL","State House of Representatives",61,"lower"
"FL","State House of Representatives",62,"lower"
"FL","State House of Representatives",63,"lower"
"FL","State House of Representatives",64,"lower"
"FL","State House of Representatives",65,"lower"
"FL","State House of Representatives",66,"lower"
"FL","State House of Representatives",67,"lower"
"FL","State House of Representatives",68,"lower"
"FL","State House of Representatives",69,"lower"
"FL","State House of Representatives",70,"lower"
"FL","State House of Representatives",71,"lower"
"FL","State House of Representatives",72,"lower"
"FL","State House of Representatives",73,"lower"
"FL","State House of Representatives",74,"lower"
"FL","State House of Representatives",75,"lower"
"FL","State House of Representatives",76,"lower"
"FL","State House of Representatives",77,"lower"
"FL","State House of Representatives",78,"lower"
"FL","State House of Representatives",79,"lower"
"FL","State House of Representatives",80,"lower"
"FL","State House of Representatives",81,"lower"
"FL","State House of Representatives",82,"lower"
"FL","State House of Representatives",83,"lower"
"FL","State House of Representatives",84,"lower"
"FL","State House of Representatives",85,"lower"
"FL","State House of Representatives",86,"lower"
"FL","State House of Representatives",87,"lower"
"FL","State House of Representatives",88,"lower"
"FL","State House of Representatives",89,"lower"
"FL","State House of Representatives",90,"lower"
"FL","State House of Representatives",91,"lower"
"FL","State House of Representatives",92,"lower"
"FL","State House of Representatives",93,"lower"
"FL","State House of Representatives",94,"lower"
"FL","State House of Representatives",95,"lower"
"FL","State House of Representatives",96,"lower"
"FL","State House of Representatives",97,"lower"
"FL","State House of Representatives",98,"lower"
"FL","State House of Representatives",99,"lower"
"FL","State House of Representatives",100,"lower"
"FL","State House of Representatives",101,"lower"
"FL","State House of Representatives",102,"lower"
"FL","State House of Representatives",103,"lower"
"FL","State House of Representatives",104,"lower"
"FL","State House of Representatives",105,"lower"
"FL","State House of Representatives",106,"lower"
"FL","State House of Representatives",107,"lower"
"FL","State House of Representatives",108,"lower"
"FL","State House of Representatives",109,"lower"
"FL","State House of Representatives",110,"lower"
"FL","State House of Representatives",111,"lower"
"FL","State House of Representatives",112,"lower"
"FL","State House of Representatives",113,"lower"
"FL","State House of Representatives",114,"lower"
"FL","State House of Representatives",115,"lower"
"FL","State House of Representatives",116,"lower"
"FL","State House of Representatives",117,"lower"
"FL","State House of Representatives",118,"lower"
"FL","State House of Representatives",119,"lower"
"FL","State House of Representatives",120,"lower"
"WA","State House of Representatives",1,"lower"
"WA","State House of Representatives",2,"lower"
"WA","State House of Representatives",3,"lower"
"WA","State House of Representatives",4,"lower"
"WA","State House of Representatives",5,"lower"
"WA","State House of Representatives",6,"lower"
"WA","State House of Representatives",7,"lower"
"WA","State House of Representatives",8,"lower"
"WA","State House of Representatives",9,"lower"
"WA","State House of Representatives",10,"lower"
"WA","State House of Representatives",11,"lower"
"WA","State House of Representatives",12,"lower"
"WA","State House of Representatives",13,"lower"
"WA","State House of Representatives",14,"lower"
"WA","State House of Representatives",15,"lower"
"WA","State House of Representatives",16,"lower"
"WA","State House of Representatives",17,"lower"
"WA","State House of Representatives",18,"lower"
"WA","State House of Representatives",19,"lower"
"WA","State House of Representatives",20,"lower"
"WA","State House of Representatives",21,"lower"
"WA","State House of Representatives",22,"lower"
"WA","State House of Representatives",23,"lower"
"WA","State House of Representatives",24,"lower"
"WA","State House of Representatives",25,"lower"
"WA","State House of Representatives",26,"lower"
"WA","State House of Representatives",27,"lower"
"WA","State House of Representatives",28,"lower"
"WA","State House of Representatives",29,"lower"
"WA","State House of Representatives",30,"lower"
"WA","State House of Representatives",31,"lower"
"WA","State House of Representatives",32,"lower"
"WA","State House of Representatives",33,"lower"
"WA","State House of Representatives",34,"lower"
"WA","State House of Representatives",35,"lower"
"WA","State House of Representatives",36,"lower"
"WA","State House of Representatives",37,"lower"
"WA","State House of Representatives",38,"lower"
"WA","State House of Representatives",39,"lower"
"WA","State House of Representatives",40,"lower"
"WA","State House of Representatives",41,"lower"
"WA","State House of Representatives",42,"lower"
"WA","State House of Representatives",43,"lower"
"WA","State House of Representatives",44,"lower"
"WA","State House of Representatives",45,"lower"
"WA","State House of Representatives",46,"lower"
"WA","State House of Representatives",47,"lower"
"WA","State House of Representatives",48,"lower"
"WA","State House of Representatives",49,"lower"
"WA","State Senate",1,"upper"
"WA","State Senate",2,"upper"
"WA","State Senate",3,"upper"
"WA","State Senate",4,"upper"
"WA","State Senate",5,"upper"
"WA","State Senate",6,"upper"
"WA","State Senate",7,"upper"
"WA","State Senate",8,"upper"
"WA","State Senate",9,"upper"
"WA","State Senate",10,"upper"
"WA","State Senate",11,"upper"
"WA","State Senate",12,"upper"
"WA","State Senate",13,"upper"
"WA","State Senate",14,"upper"
"WA","State Senate",15,"upper"
"WA","State Senate",16,"upper"
"WA","State Senate",17,"upper"
"WA","State Senate",18,"upper"
"WA","State Senate",19,"upper"
"WA","State Senate",20,"upper"
"WA","State Senate",21,"upper"
"WA","State Senate",22,"upper"
"WA","State Senate",23,"upper"
"WA","State Senate",24,"upper"
"WA","State Senate",25,"upper"
"WA","State Senate",26,"upper"
"WA","State Senate",27,"upper"
"WA","State Senate",28,"upper"
"WA","State Senate",29,"upper"
"WA","State Senate",30,"upper"
"WA","State Senate",31,"upper"
"WA","State Senate",32,"upper"
"WA","State Senate",33,"upper"
"WA","State Senate",34,"upper"
"WA","State Senate",35,"upper"
"WA","State Senate",36,"upper"
"WA","State Senate",37,"upper"
"WA","State Senate",38,"upper"
"WA","State Senate",39,"upper"
"WA","State Senate",40,"upper"
"WA","State Senate",41,"upper"
"WA","State Senate",42,"upper"
"WA","State Senate",43,"upper"
"WA","State Senate",44,"upper"
"WA","State Senate",45,"upper"
"WA","State Senate",46,"upper"
"WA","State Senate",47,"upper"
"WA","State Senate",48,"upper"
"WA","State Senate",49,"upper"
"WA","U.S. House of Representatives",1,"lower"
"WA","U.S. House of Representatives",2,"lower"
"WA","U.S. House of Representatives",3,"lower"
"WA","U.S. House of Representatives",4,"lower"
"WA","U.S. House of Representatives",5,"lower"
"WA","U.S. House of Representatives",6,"lower"
"WA","U.S. House of Representatives",7,"lower"
"WA","U.S. House of Representatives",8,"lower"
"WA","U.S. House of Representatives",9,"lower"
"WA","U.S. Senate",1,"upper"
"WA","U.S. Senate",2,"upper"
"WA","U.S. Senate",3,"upper"
"WA","U.S. Senate",4,"upper"
"WA","U.S. Senate",5,"upper"
"WA","U.S. Senate",6,"upper"
"WA","U.S. Senate",7,"upper"
"WA","U.S. Senate",8,"upper"
"WA","U.S. Senate",9,"upper"
"WA","Governor",,
"WA","Lieutenant Governor",,
"WA","Auditor",,
"WA","Treasurer",,
"WA","Attorney General",,
"WA","Secretary of State",,
"WA","Superintendent of Public Instruction",,
"WA","Comissioner of Public Lands",,
"WI","U.S. Senate",,"upper"
"WI","U.S. House of Representatives",1,"lower"
